country	continent	int	m	sd	maxResid
Afghanistan	Asia	29.9072948717949	0.275328671328671	1.22278798153463	1.68684498834499
Albania	Europe	59.2291282051282	0.334683216783216	1.9830615260166	3.99912820512815
Algeria	Africa	43.3749743589744	0.56927972027972	1.32300638495765	2.49923543123544
Angola	Africa	32.1266538461539	0.20933986013986	1.40700913536231	2.12284965034965
Argentina	Americas	62.6884358974359	0.231708391608391	0.292307186863136	0.552022144522139
Austria	Europe	66.4484615384616	0.241992307692307	0.407409381146483	0.671615384615371
Bahrain	Asia	52.7492051282051	0.467507692307692	1.63958653950098	2.8271282051282
Bangladesh	Asia	36.1354871794872	0.498130769230769	0.976690830409053	1.66575641025641
Belgium	Europe	67.8919230769231	0.209084615384615	0.292902484428892	0.633615384615399
Benin	Africa	39.5885128205128	0.334232867132867	1.17469098297291	1.89415617715618
Bolivia	Americas	38.7564487179487	0.499932167832167	1.18444486859314	2.04109207459208
Bosnia and Herzegovina	Europe	58.0895641025641	0.349755244755244	2.25666509490946	4.26956410256409
Botswana	Africa	52.9291153846154	0.0606685314685308	6.11217733062277	9.32854195804195
Brazil	Americas	51.5120384615385	0.39008951048951	0.326235858949216	0.595038461538445
Bulgaria	Europe	65.7373076923078	0.14568881118881	2.50911657864767	6.13730769230761
Burkina Faso	Africa	34.6846923076923	0.363974825174825	2.0470914912203	2.70969230769231
Burundi	Africa	40.578641025641	0.154134265734266	1.61077783133225	2.268331002331
Cambodia	Asia	37.0154230769231	0.395902797202797	5.63014318176748	15.692993006993
Cameroon	Africa	41.2494615384616	0.250146853146853	3.24321358997673	4.9803986013986
Canada	Americas	68.8838461538462	0.21886923076923	0.249248292949942	0.381230769230783
Central African Republic	Africa	38.8095128205128	0.183905594405594	3.52452903314441	5.23879137529137
Chad	Africa	39.8093717948718	0.253244055944055	1.83143948788529	3.08679487179486
Chile	Americas	54.3177051282052	0.476844055944055	1.19284298957807	1.9911282051282
China	Asia	47.1904815384616	0.530714853146853	3.85699041346615	7.99627006993008
Colombia	Americas	53.4271153846154	0.38075034965035	1.31159915511802	2.78411538461538
Comoros	Africa	39.996	0.450390909090909	0.478646837923902	0.833681818181817
Congo, Dem. Rep.	Africa	41.9610769230769	0.0939153846153844	2.42948880742114	3.60026923076923
Congo, Rep.	Africa	47.1367820512821	0.195095804195804	3.54650030457815	5.02578205128202
Costa Rica	Americas	59.1047051282051	0.40278951048951	1.51884879179298	2.4761282051282
Cote d'Ivoire	Africa	44.845858974359	0.130556643356643	3.92559042624656	5.23965850815851
Croatia	Europe	63.8557820512821	0.22545944055944	1.14755541415425	2.64578205128199
Cuba	Americas	62.2134487179487	0.321150349650349	1.74064201097553	2.79244871794868
Czech Republic	Europe	67.528076923077	0.144815384615384	0.825492347259867	1.01661538461539
Denmark	Europe	71.0335897435898	0.12133006993007	0.39878806202658	0.625256410256412
Djibouti	Africa	36.2771538461539	0.367403496503496	1.12663171472729	1.69334615384615
Dominican Republic	Americas	48.5978076923077	0.471152447552447	1.5502206590058	2.6698076923077
Ecuador	Americas	49.0653717948718	0.500053146853146	0.698854603530983	1.57429487179486
Egypt	Africa	40.968	0.555454545454545	1.03918556397	1.62563636363637
El Salvador	Americas	46.5119487179487	0.477141258741258	1.94298570069371	4.22218648018648
Equatorial Guinea	Africa	34.4303076923077	0.310170629370629	0.328689810624535	0.707867132867135
Eritrea	Africa	35.6952692307692	0.37469020979021	1.49672446219545	3.04597552447552
Ethiopia	Africa	36.0281538461539	0.307185314685314	1.04743045015031	1.95015384615383
Finland	Europe	66.4489743589744	0.237925174825174	0.354216727574011	0.963270396270387
France	Europe	67.7901282051282	0.238501398601399	0.220046849482939	0.380128205128218
Gabon	Africa	38.9353461538461	0.446732867132867	4.05410718763221	6.77065384615385
Gambia	Africa	28.4003717948718	0.581825874125873	1.14756100157291	1.72888927738929
Germany	Europe	67.5681282051282	0.213683216783216	0.416079578887699	0.841792540792549
Ghana	Africa	43.4927435897436	0.321742657342657	0.773291401182107	1.16658974358974
Greece	Europe	67.0672051282051	0.242398601398601	0.778441883487362	1.20720512820509
Guatemala	Americas	42.1193974358974	0.531273426573426	0.581178943372102	1.08043589743589
Guinea	Africa	31.5569871794872	0.424830769230769	1.19589356892875	2.05201282051285
Guinea-Bissau	Africa	31.7370384615385	0.271753146853147	0.643486627840695	1.06586713286713
Haiti	Americas	39.2461538461539	0.397058041958042	0.840765734690324	1.66715384615382
Honduras	Americas	42.9924102564102	0.542851748251748	1.56428450395829	2.65125641025642
Hong Kong, China	Asia	63.428641025641	0.365970629370629	1.16790969611312	2.46864102564101
Hungary	Europe	65.9928205128205	0.123648951048951	1.18712607166354	1.96282051282049
Iceland	Europe	71.9635897435898	0.165375524475524	0.546807166655522	0.811100233100255
India	Asia	39.2697564102564	0.505320979020979	1.72489334723165	2.36441025641026
Indonesia	Asia	36.8831153846154	0.634641258741258	0.645547842095045	1.1383846153846
Iran	Asia	44.9789871794872	0.49663986013986	0.664632923996152	1.33017948717948
Iraq	Asia	50.1134615384616	0.235210489510489	4.05709657090687	6.69817132867133
Ireland	Europe	67.5414615384615	0.19911958041958	0.477854070754934	0.757342657342656
Israel	Asia	66.3004102564103	0.267106293706294	0.36574010923855	0.910410256410253
Italy	Europe	66.5967948717949	0.269710489510489	0.416739729724676	0.884871794871783
Jamaica	Americas	62.6609871794872	0.221394405594405	2.05594361680418	4.13098717948717
Japan	Asia	65.1220512820513	0.352904195804195	1.36919363509072	2.09205128205125
Jordan	Asia	44.063858974359	0.57172937062937	1.90924097700501	2.97397435897436
